Metabolomic Feature,Putative Chemical Class
C8-pos_Cluster_0831,#N/A
C8-pos_Cluster_0832,Guaianes
C8-pos_Cluster_0833,Guaianes
C8-pos_Cluster_0834,Beta-diketones
C8-pos_Cluster_0835,#N/A
C8-pos_Cluster_0836,#N/A
C8-pos_Cluster_0837,#N/A
C8-pos_Cluster_0838,#N/A
C8-pos_Cluster_0839,#N/A
C8-pos_Cluster_0840,M-benzoquinones
C8-pos_Cluster_0844,Triterpenoids
C8-pos_Cluster_0847,Triterpenoids
C8-pos_Cluster_0849,Cucurbitacins
C8-pos_Cluster_0850,#N/A
C8-pos_Cluster_0851,#N/A
C8-pos_Cluster_0857,#N/A
C8-pos_Cluster_0858,#N/A
C8-pos_Cluster_0860,#N/A
C8-pos_Cluster_0861,#N/A
C8-pos_Cluster_0865,#N/A
C8-pos_Cluster_0869,Beta-diketones
C8-pos_Cluster_0871,#N/A
C8-pos_Cluster_0873,Glycerophosphates
C8-pos_Cluster_0874,#N/A
C8-pos_Cluster_0875,#N/A
C8-pos_Cluster_0876,#N/A
C8-pos_Cluster_0879,#N/A
C8-pos_Cluster_0880,#N/A
C8-pos_Cluster_0881,#N/A
C8-pos_Cluster_0882,#N/A
C8-pos_Cluster_0883,#N/A
C8-pos_Cluster_0884,#N/A
C8-pos_Cluster_0885,#N/A
C8-pos_Cluster_0888,#N/A
C8-pos_Cluster_0889,#N/A
C8-pos_Cluster_0890,#N/A
C8-pos_Cluster_0891,#N/A
C8-pos_Cluster_0892,#N/A
C8-pos_Cluster_0894,#N/A
C8-pos_Cluster_0895,#N/A
C8-pos_Cluster_0896,#N/A
C8-pos_Cluster_0897,#N/A
C8-pos_Cluster_0898,#N/A
C8-pos_Cluster_0901,#N/A
C8-pos_Cluster_0902,#N/A
C8-pos_Cluster_0903,Oligosaccharides
C8-pos_Cluster_0904,#N/A
C8-pos_Cluster_0908,#N/A
C8-pos_Cluster_0910,1-(1Z-alkenyl)-glycero-3-phosphocholines
C8-pos_Cluster_0912,#N/A
C8-pos_Cluster_0913,#N/A
C8-pos_Cluster_0918,#N/A
C8-pos_Cluster_0919,Triterpenoids
C8-pos_Cluster_0920,#N/A
C8-pos_Cluster_0921,#N/A
C8-pos_Cluster_0922,#N/A
C8-pos_Cluster_0923,#N/A
C8-pos_Cluster_0924,Fatty acid esters
C8-pos_Cluster_0926,#N/A
C8-pos_Cluster_0927,#N/A
C8-pos_Cluster_0929,#N/A
C8-pos_Cluster_0931,#N/A
C8-pos_Cluster_0932,#N/A
C8-pos_Cluster_0934,Triterpenoids
C8-pos_Cluster_0937,#N/A
C8-pos_Cluster_0938,#N/A
C8-pos_Cluster_0940,#N/A
C8-pos_Cluster_0942,#N/A
C8-pos_Cluster_0944,#N/A
C8-pos_Cluster_0947,#N/A
C8-pos_Cluster_0950,#N/A
C8-pos_Cluster_0952,#N/A
C8-pos_Cluster_0954,#N/A
C8-pos_Cluster_0957,#N/A
C8-pos_Cluster_0958,#N/A
C8-pos_Cluster_0961,#N/A
C8-pos_Cluster_0963,Steroidal glycosides
C8-pos_Cluster_0965,#N/A
C8-pos_Cluster_0968,#N/A
C8-pos_Cluster_0969,#N/A
C8-pos_Cluster_0970,#N/A
C8-pos_Cluster_0971,#N/A
C8-pos_Cluster_0972,Annonaceous acetogenins
C8-pos_Cluster_0976,#N/A
C8-pos_Cluster_0979,#N/A
C8-pos_Cluster_0983,#N/A
C8-pos_Cluster_0984,#N/A
C8-pos_Cluster_0987,#N/A
C8-pos_Cluster_0989,#N/A
C8-pos_Cluster_0990,#N/A
C8-pos_Cluster_0992,#N/A
C8-pos_Cluster_0993,#N/A
C8-pos_Cluster_0996,Sphingolipids
C8-pos_Cluster_0999,#N/A
C8-pos_Cluster_1000,#N/A
C8-pos_Cluster_1002,#N/A
C8-pos_Cluster_1006,#N/A
C8-pos_Cluster_1007,#N/A
C8-pos_Cluster_1008,#N/A
C8-pos_Cluster_1009,#N/A
C8-pos_Cluster_1013,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1016,#N/A
C8-pos_Cluster_1020,#N/A
C8-pos_Cluster_1021,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1022,#N/A
C8-pos_Cluster_1023,#N/A
C8-pos_Cluster_1024,#N/A
C8-pos_Cluster_1025,1-acyl-sn-glycero-3-phosphocholines
C8-pos_Cluster_1026,#N/A
C8-pos_Cluster_1029,#N/A
C8-pos_Cluster_1035,#N/A
C8-pos_Cluster_1037,#N/A
C8-pos_Cluster_1038,#N/A
C8-pos_Cluster_1039,#N/A
C8-pos_Cluster_1042,Annonaceous acetogenins
C8-pos_Cluster_1043,#N/A
C8-pos_Cluster_1044,#N/A
C8-pos_Cluster_1046,#N/A
C8-pos_Cluster_1047,#N/A
C8-pos_Cluster_1048,#N/A
C8-pos_Cluster_1049,#N/A
C8-pos_Cluster_1051,#N/A
C8-pos_Cluster_1052,#N/A
C8-pos_Cluster_1054,Triterpenoids
C8-pos_Cluster_1057,#N/A
C8-pos_Cluster_1058,#N/A
C8-pos_Cluster_1060,Lineolic acids and derivatives
C8-pos_Cluster_1061,#N/A
C8-pos_Cluster_1065,#N/A
C8-pos_Cluster_1067,Sesquaterpenoids
C8-pos_Cluster_1069,#N/A
C8-pos_Cluster_1071,#N/A
C8-pos_Cluster_1072,#N/A
C8-pos_Cluster_1073,#N/A
C8-pos_Cluster_1078,#N/A
C8-pos_Cluster_1079,#N/A
C8-pos_Cluster_1080,#N/A
C8-pos_Cluster_1081,Lineolic acids and derivatives
C8-pos_Cluster_1083,#N/A
C8-pos_Cluster_1084,1-acyl-sn-glycero-3-phosphoethanolamines
C8-pos_Cluster_1086,#N/A
C8-pos_Cluster_1088,#N/A
C8-pos_Cluster_1089,#N/A
C8-pos_Cluster_1091,#N/A
C8-pos_Cluster_1093,Sphingolipids
C8-pos_Cluster_1096,#N/A
C8-pos_Cluster_1097,Cholesteryl esters
C8-pos_Cluster_1098,#N/A
C8-pos_Cluster_1100,Benzopyrans
C8-pos_Cluster_1104,#N/A
C8-pos_Cluster_1105,#N/A
C8-pos_Cluster_1107,Fatty alcohols
C8-pos_Cluster_1109,#N/A
C8-pos_Cluster_1111,Stigmastanes and derivatives
C8-pos_Cluster_1112,#N/A
C8-pos_Cluster_1113,Annonaceous acetogenins
C8-pos_Cluster_1114,Annonaceous acetogenins
C8-pos_Cluster_1116,#N/A
C8-pos_Cluster_1117,#N/A
C8-pos_Cluster_1118,#N/A
C8-pos_Cluster_1119,#N/A
C8-pos_Cluster_1120,#N/A
C8-pos_Cluster_1123,Annonaceous acetogenins
C8-pos_Cluster_1124,#N/A
C8-pos_Cluster_1125,Annonaceous acetogenins
C8-pos_Cluster_1126,#N/A
C8-pos_Cluster_1127,#N/A
C8-pos_Cluster_1128,#N/A
C8-pos_Cluster_1129,#N/A
C8-pos_Cluster_1130,#N/A
C8-pos_Cluster_1133,#N/A
C8-pos_Cluster_1134,#N/A
C8-pos_Cluster_1135,#N/A
C8-pos_Cluster_1136,#N/A
C8-pos_Cluster_1138,#N/A
C8-pos_Cluster_1139,#N/A
C8-pos_Cluster_1140,#N/A
C8-pos_Cluster_1141,#N/A
C8-pos_Cluster_1142,"1,3-diacylglycerols"
C8-pos_Cluster_1143,#N/A
C8-pos_Cluster_1144,#N/A
C8-pos_Cluster_1145,#N/A
C8-pos_Cluster_1147,#N/A
C8-pos_Cluster_1149,Tetrapyrroles and derivatives
C8-pos_Cluster_1151,#N/A
C8-pos_Cluster_1152,#N/A
C8-pos_Cluster_1153,#N/A
C8-pos_Cluster_1155,Tetraterpenoids
C8-pos_Cluster_1156,#N/A
C8-pos_Cluster_1158,#N/A
C8-pos_Cluster_1160,#N/A
C8-pos_Cluster_1161,#N/A
C8-pos_Cluster_1163,#N/A
C8-pos_Cluster_1164,#N/A
C8-pos_Cluster_1165,#N/A
C8-pos_Cluster_1166,#N/A
C8-pos_Cluster_1169,Cinnamic acids and derivatives
C8-pos_Cluster_1170,#N/A
C8-pos_Cluster_1172,Tetrapyrroles and derivatives
C8-pos_Cluster_1173,Tetrapyrroles and derivatives
C8-pos_Cluster_1174,#N/A
C8-pos_Cluster_1175,#N/A
C8-pos_Cluster_1178,#N/A
C8-pos_Cluster_1179,#N/A
C8-pos_Cluster_1180,#N/A
C8-pos_Cluster_1181,Tetrapyrroles and derivatives
C8-pos_Cluster_1183,Tetrapyrroles and derivatives
C8-pos_Cluster_1185,#N/A
C8-pos_Cluster_1187,#N/A
C8-pos_Cluster_1188,#N/A
C8-pos_Cluster_1189,#N/A
C8-pos_Cluster_1192,#N/A
C8-pos_Cluster_1193,#N/A
C8-pos_Cluster_1195,#N/A
C8-pos_Cluster_1196,#N/A
C8-pos_Cluster_1199,#N/A
C8-pos_Cluster_1201,#N/A
C8-pos_Cluster_1202,Flavonoids
C8-pos_Cluster_1206,"1,3-diacylglycerols"
C8-pos_Cluster_1207,#N/A
C8-pos_Cluster_1209,#N/A
C8-pos_Cluster_1210,#N/A
C8-pos_Cluster_1212,#N/A
C8-pos_Cluster_1213,#N/A
C8-pos_Cluster_1214,Benzopyrans
C8-pos_Cluster_1215,#N/A
C8-pos_Cluster_1216,#N/A
C8-pos_Cluster_1217,#N/A
C8-pos_Cluster_1219,Aromatic monoterpenoids
C8-pos_Cluster_1220,#N/A
C8-pos_Cluster_1221,#N/A
C8-pos_Cluster_1222,#N/A
C8-pos_Cluster_1223,#N/A
C8-pos_Cluster_1224,#N/A
C8-pos_Cluster_1225,#N/A
C8-pos_Cluster_1226,"1,2-diacylglycerols"
C8-pos_Cluster_1227,#N/A
C8-pos_Cluster_1228,#N/A
C8-pos_Cluster_1229,#N/A
C8-pos_Cluster_1230,Benzopyrans
C8-pos_Cluster_1231,#N/A
C8-pos_Cluster_1233,#N/A
C8-pos_Cluster_1234,#N/A
C8-pos_Cluster_1235,#N/A
C8-pos_Cluster_1236,#N/A
C8-pos_Cluster_1238,#N/A
C8-pos_Cluster_1241,#N/A
C8-pos_Cluster_1242,#N/A
C8-pos_Cluster_1244,#N/A
C8-pos_Cluster_1245,#N/A
C8-pos_Cluster_1246,#N/A
C8-pos_Cluster_1247,#N/A
C8-pos_Cluster_1248,#N/A
C8-pos_Cluster_1249,#N/A
C8-pos_Cluster_1250,#N/A
C8-pos_Cluster_1251,#N/A
C8-pos_Cluster_1252,#N/A
C8-pos_Cluster_1254,#N/A
C8-pos_Cluster_1255,Annonaceous acetogenins
C8-pos_Cluster_1256,#N/A
C8-pos_Cluster_1257,#N/A
C8-pos_Cluster_1258,#N/A
C8-pos_Cluster_1259,#N/A
C8-pos_Cluster_1264,#N/A
C8-pos_Cluster_1267,Cholesteryl esters
C8-pos_Cluster_1268,#N/A
C8-pos_Cluster_1272,Melleolides and analogues
C8-pos_Cluster_1273,Cholesteryl esters
C8-pos_Cluster_1274,#N/A
C8-pos_Cluster_1275,#N/A
C8-pos_Cluster_1276,#N/A
C8-pos_Cluster_1279,#N/A
C8-pos_Cluster_1280,#N/A
C8-pos_Cluster_1281,#N/A
C8-pos_Cluster_1283,#N/A
C8-pos_Cluster_1284,#N/A
C8-pos_Cluster_1287,Carbohydrates and carbohydrate conjugates
C8-pos_Cluster_1288,#N/A
C8-pos_Cluster_1289,#N/A
C8-pos_Cluster_1290,#N/A
C8-pos_Cluster_1292,#N/A
C8-pos_Cluster_1296,#N/A
C8-pos_Cluster_1300,#N/A
C8-pos_Cluster_1301,"1,3-diacylglycerols"
C8-pos_Cluster_1304,#N/A
C8-pos_Cluster_1305,#N/A
C8-pos_Cluster_1308,"1,3-diacylglycerols"
C8-pos_Cluster_1313,#N/A
C8-pos_Cluster_1314,#N/A
C8-pos_Cluster_1316,#N/A
C8-pos_Cluster_1320,#N/A
C8-pos_Cluster_1322,#N/A
C8-pos_Cluster_1323,#N/A
C8-pos_Cluster_1324,#N/A
C8-pos_Cluster_1325,#N/A
C8-pos_Cluster_1326,#N/A
C8-pos_Cluster_1327,"1,3-diacylglycerols"
C8-pos_Cluster_1328,#N/A
C8-pos_Cluster_1329,#N/A
C8-pos_Cluster_1330,#N/A
C8-pos_Cluster_1331,#N/A
C8-pos_Cluster_1332,#N/A
C8-pos_Cluster_1333,#N/A
C8-pos_Cluster_1334,#N/A
C8-pos_Cluster_1335,#N/A
C8-pos_Cluster_1336,#N/A
C8-pos_Cluster_1340,#N/A
C8-pos_Cluster_1341,#N/A
C8-pos_Cluster_1344,#N/A
C8-pos_Cluster_1345,#N/A
C8-pos_Cluster_1346,#N/A
C8-pos_Cluster_1347,#N/A
C8-pos_Cluster_1348,#N/A
C8-pos_Cluster_1349,#N/A
C8-pos_Cluster_1352,#N/A
C8-pos_Cluster_1353,#N/A
C8-pos_Cluster_1355,#N/A
C8-pos_Cluster_1356,#N/A
C8-pos_Cluster_1359,#N/A
C8-pos_Cluster_1360,#N/A
C8-pos_Cluster_1362,#N/A
C8-pos_Cluster_1363,#N/A
C8-pos_Cluster_1366,#N/A
C8-pos_Cluster_1368,Annonaceous acetogenins
C8-pos_Cluster_1370,#N/A
C8-pos_Cluster_1371,#N/A
C8-pos_Cluster_1374,#N/A
C8-pos_Cluster_1376,#N/A
C8-pos_Cluster_1378,#N/A
C8-pos_Cluster_1380,#N/A
C8-pos_Cluster_1381,#N/A
C8-pos_Cluster_1382,#N/A
C8-pos_Cluster_1384,"1,2-diacylglycerols"
C8-pos_Cluster_1387,#N/A
C8-pos_Cluster_1388,#N/A
C8-pos_Cluster_1390,#N/A
C8-pos_Cluster_1392,#N/A
C8-pos_Cluster_1394,Cholesteryl esters
C8-pos_Cluster_1396,#N/A
C8-pos_Cluster_1397,#N/A
C8-pos_Cluster_1398,#N/A
C8-pos_Cluster_1399,#N/A
C8-pos_Cluster_1400,#N/A
C8-pos_Cluster_1402,#N/A
C8-pos_Cluster_1403,#N/A
C8-pos_Cluster_1404,#N/A
C8-pos_Cluster_1405,Cholesteryl esters
C8-pos_Cluster_1406,#N/A
C8-pos_Cluster_1407,#N/A
C8-pos_Cluster_1408,#N/A
C8-pos_Cluster_1409,#N/A
C8-pos_Cluster_1412,#N/A
C8-pos_Cluster_1413,#N/A
C8-pos_Cluster_1414,#N/A
C8-pos_Cluster_1421,#N/A
C8-pos_Cluster_1422,#N/A
C8-pos_Cluster_1423,#N/A
C8-pos_Cluster_1424,#N/A
C8-pos_Cluster_1427,#N/A
C8-pos_Cluster_1429,#N/A
C8-pos_Cluster_1431,#N/A
C8-pos_Cluster_1432,#N/A
C8-pos_Cluster_1433,Other hydroxyeicosapolyenoic acids
C8-pos_Cluster_1434,#N/A
C8-pos_Cluster_1435,#N/A
C8-pos_Cluster_1437,#N/A
C8-pos_Cluster_1438,#N/A
C8-pos_Cluster_1439,#N/A
C8-pos_Cluster_1440,#N/A
C8-pos_Cluster_1441,#N/A
C8-pos_Cluster_1442,#N/A
C8-pos_Cluster_1443,#N/A
C8-pos_Cluster_1444,#N/A
C8-pos_Cluster_1445,#N/A
C8-pos_Cluster_1448,#N/A
C8-pos_Cluster_1451,#N/A
C8-pos_Cluster_1452,#N/A
C8-pos_Cluster_1453,#N/A
C8-pos_Cluster_1454,#N/A
C8-pos_Cluster_1455,#N/A
C8-pos_Cluster_1456,#N/A
C8-pos_Cluster_1457,#N/A
C8-pos_Cluster_1458,#N/A
C8-pos_Cluster_1459,#N/A
C8-pos_Cluster_1460,Steroid esters
C8-pos_Cluster_1462,"1-alkyl,2-acylglycerophosphates"
C8-pos_Cluster_1464,Steroid esters
C8-pos_Cluster_1465,#N/A
C8-pos_Cluster_1467,#N/A
C8-pos_Cluster_1469,#N/A
C8-pos_Cluster_1470,#N/A
C8-pos_Cluster_1471,#N/A
C8-pos_Cluster_1472,Other hydroxyeicosapolyenoic acids
C8-pos_Cluster_1474,#N/A
C8-pos_Cluster_1475,#N/A
C8-pos_Cluster_1477,#N/A
C8-pos_Cluster_1479,#N/A
C8-pos_Cluster_1480,#N/A
C8-pos_Cluster_1482,#N/A
C8-pos_Cluster_1483,#N/A
C8-pos_Cluster_1484,#N/A
C8-pos_Cluster_1486,#N/A
C8-pos_Cluster_1489,#N/A
C8-pos_Cluster_1492,#N/A
C8-pos_Cluster_1493,#N/A
C8-pos_Cluster_1497,#N/A
C8-pos_Cluster_1498,#N/A
C8-pos_Cluster_1501,#N/A
C8-pos_Cluster_1503,Cholesteryl esters
C8-pos_Cluster_1505,#N/A
C8-pos_Cluster_1506,#N/A
C8-pos_Cluster_1507,#N/A
C8-pos_Cluster_1508,#N/A
C8-pos_Cluster_1513,Cholesteryl esters
C8-pos_Cluster_1515,#N/A
C8-pos_Cluster_1517,#N/A
C8-pos_Cluster_1518,#N/A
C8-pos_Cluster_1519,#N/A
C8-pos_Cluster_1520,#N/A
C8-pos_Cluster_1522,#N/A
C8-pos_Cluster_1524,Cholesteryl esters
C8-pos_Cluster_1526,#N/A
C8-pos_Cluster_1528,#N/A
C8-pos_Cluster_1529,#N/A
C8-pos_Cluster_1531,#N/A
C8-pos_Cluster_1532,#N/A
C8-pos_Cluster_1533,Cholesteryl esters
C8-pos_Cluster_1534,Cholesteryl esters
C8-pos_Cluster_1535,#N/A
C8-pos_Cluster_1536,#N/A
C8-pos_Cluster_1537,Phosphatidylethanolamines
C8-pos_Cluster_1538,#N/A
C8-pos_Cluster_1539,#N/A
C8-pos_Cluster_1540,#N/A
C8-pos_Cluster_1542,"1,3-diacylglycerols"
C8-pos_Cluster_1546,#N/A
C8-pos_Cluster_1548,#N/A
C8-pos_Cluster_1549,"1,3-diacylglycerols"
C8-pos_Cluster_1550,Quinone and hydroquinone lipids
C8-pos_Cluster_1552,#N/A
C8-pos_Cluster_1553,Quinone and hydroquinone lipids
C8-pos_Cluster_1554,#N/A
C8-pos_Cluster_1556,Benzoic acid esters
C8-pos_Cluster_1558,#N/A
C8-pos_Cluster_1559,#N/A
C8-pos_Cluster_1561,#N/A
C8-pos_Cluster_1564,#N/A
C8-pos_Cluster_1565,#N/A
C8-pos_Cluster_1566,#N/A
C8-pos_Cluster_1567,#N/A
C8-pos_Cluster_1568,#N/A
C8-pos_Cluster_1569,Phosphatidylethanolamines
C8-pos_Cluster_1570,#N/A
C8-pos_Cluster_1571,#N/A
C8-pos_Cluster_1572,#N/A
C8-pos_Cluster_1573,#N/A
C8-pos_Cluster_1574,#N/A
C8-pos_Cluster_1575,#N/A
C8-pos_Cluster_1576,#N/A
C8-pos_Cluster_1577,#N/A
C8-pos_Cluster_1578,#N/A
C8-pos_Cluster_1579,#N/A
C8-pos_Cluster_1581,#N/A
C8-pos_Cluster_1582,#N/A
C8-pos_Cluster_1583,#N/A
C8-pos_Cluster_1584,#N/A
C8-pos_Cluster_1585,#N/A
C8-pos_Cluster_1588,#N/A
C8-pos_Cluster_1589,#N/A
C8-pos_Cluster_1590,#N/A
C8-pos_Cluster_1591,#N/A
C8-pos_Cluster_1592,#N/A
C8-pos_Cluster_1593,#N/A
C8-pos_Cluster_1596,#N/A
C8-pos_Cluster_1598,#N/A
C8-pos_Cluster_1599,Cholesteryl esters
C8-pos_Cluster_1600,#N/A
C8-pos_Cluster_1601,#N/A
C8-pos_Cluster_1602,#N/A
C8-pos_Cluster_1603,#N/A
C8-pos_Cluster_1604,#N/A
C8-pos_Cluster_1605,#N/A
C8-pos_Cluster_1606,#N/A
C8-pos_Cluster_1607,#N/A
C8-pos_Cluster_1609,#N/A
C8-pos_Cluster_1612,#N/A
C8-pos_Cluster_1613,#N/A
C8-pos_Cluster_1615,#N/A
C8-pos_Cluster_1616,#N/A
C8-pos_Cluster_1617,#N/A
C8-pos_Cluster_1618,#N/A
C8-pos_Cluster_1619,#N/A
C8-pos_Cluster_1620,#N/A
C8-pos_Cluster_1621,#N/A
C8-pos_Cluster_1622,"1,3-diacylglycerols"
C8-pos_Cluster_1624,#N/A
C8-pos_Cluster_1625,#N/A
C8-pos_Cluster_1626,#N/A
C8-pos_Cluster_1627,#N/A
C8-pos_Cluster_1629,#N/A
C8-pos_Cluster_1631,#N/A
C8-pos_Cluster_1632,#N/A
C8-pos_Cluster_1633,#N/A
C8-pos_Cluster_1634,#N/A
C8-pos_Cluster_1636,#N/A
C8-pos_Cluster_1637,Sphingolipids
C8-pos_Cluster_1638,#N/A
C8-pos_Cluster_1639,#N/A
C8-pos_Cluster_1640,#N/A
C8-pos_Cluster_1644,"1,3-diacylglycerols"
C8-pos_Cluster_1645,Cholesteryl esters
C8-pos_Cluster_1646,Cholesteryl esters
C8-pos_Cluster_1648,#N/A
C8-pos_Cluster_1649,"1,3-diacylglycerols"
C8-pos_Cluster_1650,#N/A
C8-pos_Cluster_1651,#N/A
C8-pos_Cluster_1653,Cholesteryl esters
C8-pos_Cluster_1654,Cholesteryl esters
C8-pos_Cluster_1655,#N/A
C8-pos_Cluster_1656,#N/A
C8-pos_Cluster_1658,#N/A
C8-pos_Cluster_1659,#N/A
C8-pos_Cluster_1660,#N/A
C8-pos_Cluster_1661,#N/A
C8-pos_Cluster_1663,#N/A
C8-pos_Cluster_1664,#N/A
C8-pos_Cluster_1665,#N/A
C8-pos_Cluster_1666,#N/A
C8-pos_Cluster_1667,#N/A
C8-pos_Cluster_1669,Cholesteryl esters
C8-pos_Cluster_1670,#N/A
C8-pos_Cluster_1672,#N/A
C8-pos_Cluster_1673,#N/A
C8-pos_Cluster_1674,#N/A
C8-pos_Cluster_1676,#N/A
C8-pos_Cluster_1677,#N/A
C8-pos_Cluster_1678,#N/A
C8-pos_Cluster_1679,#N/A
C8-pos_Cluster_1680,Phosphatidylethanolamines
C8-pos_Cluster_1681,#N/A
C8-pos_Cluster_1683,#N/A
C8-pos_Cluster_1684,#N/A
C8-pos_Cluster_1686,#N/A
C8-pos_Cluster_1687,#N/A
C8-pos_Cluster_1688,#N/A
C8-pos_Cluster_1689,#N/A
C8-pos_Cluster_1690,#N/A
C8-pos_Cluster_1692,#N/A
C8-pos_Cluster_1694,#N/A
C8-pos_Cluster_1695,#N/A
C8-pos_Cluster_1696,#N/A
C8-pos_Cluster_1697,#N/A
C8-pos_Cluster_1698,#N/A
C8-pos_Cluster_1699,#N/A
C8-pos_Cluster_1700,#N/A
C8-pos_Cluster_1702,Sphingolipids
C8-pos_Cluster_1703,#N/A
C8-pos_Cluster_1705,#N/A
C8-pos_Cluster_1706,#N/A
C8-pos_Cluster_1707,#N/A
C8-pos_Cluster_1708,#N/A
C8-pos_Cluster_1709,Sphingolipids
C8-pos_Cluster_1710,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1711,Sphingolipids
C8-pos_Cluster_1713,Triacylglycerols
C8-pos_Cluster_1714,#N/A
C8-pos_Cluster_1716,Phosphatidylcholines
C8-pos_Cluster_1717,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1718,#N/A
C8-pos_Cluster_1723,#N/A
C8-pos_Cluster_1724,Cholesteryl esters
C8-pos_Cluster_1725,Cholesteryl esters
C8-pos_Cluster_1729,#N/A
C8-pos_Cluster_1730,#N/A
C8-pos_Cluster_1731,#N/A
C8-pos_Cluster_1735,#N/A
C8-pos_Cluster_1738,#N/A
C8-pos_Cluster_1739,#N/A
C8-pos_Cluster_1740,#N/A
C8-pos_Cluster_1741,#N/A
C8-pos_Cluster_1744,#N/A
C8-pos_Cluster_1746,#N/A
C8-pos_Cluster_1747,#N/A
C8-pos_Cluster_1748,"1,2-diacylglycerols"
C8-pos_Cluster_1749,#N/A
C8-pos_Cluster_1750,#N/A
C8-pos_Cluster_1751,#N/A
C8-pos_Cluster_1752,#N/A
C8-pos_Cluster_1753,#N/A
C8-pos_Cluster_1754,"1,3-diacylglycerols"
C8-pos_Cluster_1756,#N/A
C8-pos_Cluster_1759,#N/A
C8-pos_Cluster_1760,#N/A
C8-pos_Cluster_1762,#N/A
C8-pos_Cluster_1763,#N/A
C8-pos_Cluster_1765,#N/A
C8-pos_Cluster_1766,#N/A
C8-pos_Cluster_1767,#N/A
C8-pos_Cluster_1769,#N/A
C8-pos_Cluster_1773,#N/A
C8-pos_Cluster_1774,#N/A
C8-pos_Cluster_1775,#N/A
C8-pos_Cluster_1776,#N/A
C8-pos_Cluster_1777,#N/A
C8-pos_Cluster_1778,#N/A
C8-pos_Cluster_1779,#N/A
C8-pos_Cluster_1781,#N/A
C8-pos_Cluster_1782,#N/A
C8-pos_Cluster_1783,#N/A
C8-pos_Cluster_1784,#N/A
C8-pos_Cluster_1786,#N/A
C8-pos_Cluster_1787,#N/A
C8-pos_Cluster_1788,Phosphatidylethanolamines
C8-pos_Cluster_1789,#N/A
C8-pos_Cluster_1792,#N/A
C8-pos_Cluster_1794,Phosphatidylcholines
C8-pos_Cluster_1796,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1797,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines"
C8-pos_Cluster_1798,#N/A
C8-pos_Cluster_1801,#N/A
C8-pos_Cluster_1802,#N/A
C8-pos_Cluster_1805,#N/A
C8-pos_Cluster_1807,#N/A
C8-pos_Cluster_1808,#N/A
C8-pos_Cluster_1809,#N/A
C8-pos_Cluster_1810,#N/A
C8-pos_Cluster_1815,Flavonoids
C8-pos_Cluster_1818,#N/A
C8-pos_Cluster_1819,#N/A
C8-pos_Cluster_1820,#N/A
C8-pos_Cluster_1822,#N/A
C8-pos_Cluster_1824,#N/A
C8-pos_Cluster_1825,#N/A
C8-pos_Cluster_1827,#N/A
C8-pos_Cluster_1828,#N/A
C8-pos_Cluster_1829,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1830,#N/A
C8-pos_Cluster_1831,#N/A
C8-pos_Cluster_1832,#N/A
C8-pos_Cluster_1834,#N/A
C8-pos_Cluster_1836,#N/A
C8-pos_Cluster_1840,#N/A
C8-pos_Cluster_1841,#N/A
C8-pos_Cluster_1843,#N/A
C8-pos_Cluster_1847,#N/A
C8-pos_Cluster_1850,#N/A
C8-pos_Cluster_1851,#N/A
C8-pos_Cluster_1859,#N/A
C8-pos_Cluster_1862,Phosphatidylcholines
C8-pos_Cluster_1863,#N/A
C8-pos_Cluster_1864,#N/A
C8-pos_Cluster_1865,#N/A
C8-pos_Cluster_1866,#N/A
C8-pos_Cluster_1869,#N/A
C8-pos_Cluster_1870,#N/A
C8-pos_Cluster_1871,Phosphatidylcholines
C8-pos_Cluster_1875,Phosphatidylcholines
C8-pos_Cluster_1877,#N/A
C8-pos_Cluster_1878,#N/A
C8-pos_Cluster_1881,Sphingolipids
C8-pos_Cluster_1882,#N/A
C8-pos_Cluster_1887,#N/A
C8-pos_Cluster_1891,#N/A
C8-pos_Cluster_1892,#N/A
C8-pos_Cluster_1893,#N/A
C8-pos_Cluster_1896,#N/A
C8-pos_Cluster_1897,#N/A
C8-pos_Cluster_1898,#N/A
C8-pos_Cluster_1901,#N/A
C8-pos_Cluster_1908,#N/A
C8-pos_Cluster_1910,Ubiquinones
C8-pos_Cluster_1913,#N/A
C8-pos_Cluster_1914,#N/A
C8-pos_Cluster_1916,#N/A
C8-pos_Cluster_1917,#N/A
C8-pos_Cluster_1919,#N/A
C8-pos_Cluster_1920,#N/A
C8-pos_Cluster_1921,#N/A
C8-pos_Cluster_1923,#N/A
C8-pos_Cluster_1925,#N/A
C8-pos_Cluster_1926,#N/A
C8-pos_Cluster_1928,#N/A
C8-pos_Cluster_1929,#N/A
C8-pos_Cluster_1933,"1-acyl,2-(1Z-alkenyl)-glycerophosphocholines"
C8-pos_Cluster_1935,#N/A
C8-pos_Cluster_1936,#N/A
C8-pos_Cluster_1937,#N/A
C8-pos_Cluster_1938,#N/A
C8-pos_Cluster_1939,#N/A
